"filename", "language", "Markdown", "Python", "JSON", "pip requirements", "Shell Script", "JavaScript", "JSON with Comments", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/vdemirev/Desktop/Biufet_No9/backend/indexes/models.py", "Python", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 94
"/Users/vdemirev/Desktop/Biufet_No9/backend/indexes/serializers.py", "Python", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"/Users/vdemirev/Desktop/Biufet_No9/backend/indexes/tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/vdemirev/Desktop/Biufet_No9/backend/indexes/urls.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/vdemirev/Desktop/Biufet_No9/backend/indexes/views.py", "Python", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35, 222
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/admin.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/models.py", "Python", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 141
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/serializers.py", "Python", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 100
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/services.py", "Python", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 103
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/urls.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/vdemirev/Desktop/Biufet_No9/backend/insurance/views.py", "Python", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29, 143
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/admin.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/management/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/management/commands/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/management/commands/create_positions.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 35
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/models.py", "Python", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28, 289
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/serializers.py", "Python", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 122
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/urls.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/vdemirev/Desktop/Biufet_No9/backend/investments/views.py", "Python", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 18, 44, 244
